id,check,adm.level,Bundesland,Landkreis,intervention,start,end,comment,reference,reference2
"1,CORRECT,1,,,speech,2020-03-13,,""Merkel,Steinmeier"",https://www.rnd.de/politik/steinmeier-zu-corona-epidemie-dauer-der-krise-noch-nicht-absehbar-PUQP6YC7SGPT2LHBU6TGUH5NIQ.html,https://www.nytimes.com/2020/03/11/world/europe/coronavirus-merkel-germany.html"
385,CORRECT,2,Niedersachsen,,sports,2020-03-23,,,https://www.niedersachsen.de/download/153376/Allgemeinverfuegung_des_Niedersaechsischen_Gesundheitsministeriums_zur_Beschraenkung_von_Sozialen_Kontakten_vom_22.03.2020.pdf,
386,CORRECT,2,Niedersachsen,,sports,2020-03-17,,,https://www.niedersachsen.de/download/153171/Erlass_des_Niedersaechsischen_Gesundheitsministeriums_zur_Beschraenkung_von_sozialen_Kontakten_im_oeffentlichen_Bereich_Handeln-Freizeit-Kultur_vom_16.03.2020.pdf,
387,CORRECT,2,Niedersachsen,,shops,2020-03-17,,,https://www.ms.niedersachsen.de/startseite/service_kontakt/presseinformationen/massnahmen-im-kampf-gegen-covid-19-land-untersagt-alle-offentlichen-veranstaltungen-schliessung-aller-freizeit-und-kultureinrichtungen-und-teile-des-einzelhandels-186324.html,
388,CORRECT,2,Niedersachsen,,restaurants,2020-03-18,,limited,https://www.ms.niedersachsen.de/startseite/service_kontakt/presseinformationen/massnahmen-im-kampf-gegen-covid-19-land-untersagt-touristische-ubernachtungen-und-erlaubt-sonntagsoffnung-fur-geschafte-des-taglichen-bedarfs-restaurants-unter-strengen-auflagen-weiter-geoffnet-740-falle-bestatigt-186501.html,
389,CORRECT,2,Niedersachsen,,restaurants,2020-03-23,,,https://www.niedersachsen.de/download/153376/Allgemeinverfuegung_des_Niedersaechsischen_Gesundheitsministeriums_zur_Beschraenkung_von_Sozialen_Kontakten_vom_22.03.2020.pdf,
391,CORRECT,2,Niedersachsen,,events,2020-03-23,,,https://www.niedersachsen.de/download/153376/Allgemeinverfuegung_des_Niedersaechsischen_Gesundheitsministeriums_zur_Beschraenkung_von_Sozialen_Kontakten_vom_22.03.2020.pdf,
392,CORRECT,2,Niedersachsen,,schools open,2020-04-20,,final classes,https://www.niedersachsen.de/download/154330/Nds._GVBl._Nr._10_2020_vom_17.04.2020_S._73-79.pdf,
393,CORRECT,2,Niedersachsen,,shops2,2020-04-20,,,https://www.niedersachsen.de/download/154330/Nds._GVBl._Nr._10_2020_vom_17.04.2020_S._73-79.pdf,
394,CORRECT,2,Niedersachsen,,masks,2020-04-27,,,https://www.niedersachsen.de/download/154565/Nds._GVBl._Nr._11_2020_vom_24.04.2020_S._81-87.pdf,
395,CORRECT,2,Niedersachsen,,sports open,2020-05-06,,limited,https://www.niedersachsen.de/download/154934/Nds._GVBl._Nr._12_2020_vom_05.05.2020_S._89-94.pdf,
396,CORRECT,2,Niedersachsen,,churches open,2020-05-06,,,https://www.niedersachsen.de/download/154934/Nds._GVBl._Nr._12_2020_vom_05.05.2020_S._89-94.pdf,
397,CORRECT,2,Niedersachsen,,restaurants open,2020-05-11,,limited,https://www.niedersachsen.de/download/155109/Nds._GVBl._Nr._13_2020_vom_09.05.2020_S._95-106.pdf,
398,CORRECT,2,Niedersachsen,,shops open,2020-05-11,,,https://www.niedersachsen.de/download/155109/Nds._GVBl._Nr._13_2020_vom_09.05.2020_S._95-106.pdf,
399,CORRECT,2,Niedersachsen,,kitas open,2020-05-18,,limited,https://www.niedersachsen.de/download/155109/Nds._GVBl._Nr._13_2020_vom_09.05.2020_S._95-106.pdf,
400,CORRECT,2,Niedersachsen,,schools open,2020-05-18,,two final classes,https://www.niedersachsen.de/download/155109/Nds._GVBl._Nr._13_2020_vom_09.05.2020_S._95-106.pdf,
401,CORRECT,2,Niedersachsen,,gatherings,2020-05-25,,2hh,https://www.niedersachsen.de/download/155547/Nds._GVBl._Nr._17_2020_vom_22.05.2020_S._133-142.pdf,
